service_date,route,direction,stop_id,events,otp,delay_med
2025-05-12,115,inbound,4.1E+11,1,0.0,-30.0
2025-05-12,115,inbound,410000014903,1,0.0,33.333333333333336
2025-05-12,115,outbound,4.1E+11,1,0.0,6.333333333333333
2025-05-12,12,inbound,079073245B,6,0.0,33.833333333333336
2025-05-12,12,inbound,410000015543,2,0.0,37.19166666666666
2025-05-12,12,inbound,41000010WALC,4,0.0,49.38333333333333
2025-05-12,12,outbound,079073001N,2,0.0,27.116666666666667
2025-05-12,12,outbound,410000008446,5,0.0,44.53333333333333
2025-05-12,12,outbound,41000042SSIP,2,0.0,30.03333333333333
2025-05-12,13,inbound,410000029206,4,0.0,39.516666666666666
2025-05-12,13,outbound,079073245B,1,0.0,79.01666666666667
2025-05-12,13,outbound,410000023816,3,0.0,52.3
2025-05-12,14,inbound,079073246A,4,0.0,20.916666666666664
2025-05-12,140,outbound,4.1E+11,1,1.0,3.5
2025-05-12,146,outbound,4.1E+11,1,1.0,1.8833333333333333
2025-05-12,16,inbound,410000024564,4,0.0,22.3
2025-05-12,16,inbound,410000024S05,1,0.0,25.383333333333333
2025-05-12,16,outbound,410000024170,3,0.0,28.833333333333332
2025-05-12,18,inbound,410000015622,1,0.0,47.266666666666666
2025-05-12,18,outbound,410000009997,1,0.0,60.95
2025-05-12,18,outbound,41000042SSIL,2,0.0,32.891666666666666
2025-05-12,18,outbound,4100009FLEDS,1,0.0,28.633333333333333
2025-05-12,2,inbound,078074945B,2,0.0,45.4
2025-05-12,2,outbound,078074773A,1,0.0,39.983333333333334
2025-05-12,2,outbound,078074820A,1,0.0,33.8
2025-05-12,20,inbound,410000024549,2,0.0,22.316666666666666
2025-05-12,20,outbound,410000024S22,1,0.0,19.266666666666666
2025-05-12,22,inbound,410000007049,8,0.0,68.7
2025-05-12,22,outbound,410000010341,2,0.0,40.74166666666667
2025-05-12,22,outbound,410000010981,5,0.0,69.95
2025-05-12,22X,outbound,410000010981,2,0.0,76.16666666666667
2025-05-12,23,inbound,410000029116,4,0.0,34.80833333333334
2025-05-12,23,outbound,410000017207,2,0.0,38.208333333333336
2025-05-12,3,inbound,075071311A,1,1.0,3.35
2025-05-12,3,inbound,410000029106,4,0.0,41.8
2025-05-12,3,outbound,410000023800,3,0.0,34.766666666666666
2025-05-12,3,outbound,41000042SSIH,3,0.0,41.233333333333334
2025-05-12,30,inbound,410000008393,4,0.0,59.391666666666666
2025-05-12,30,inbound,410000016105,1,0.0,30.816666666666666
2025-05-12,30,outbound,410000007134,1,0.0,53.28333333333333
2025-05-12,30,outbound,410000008247,2,0.0,46.349999999999994
2025-05-12,30,outbound,41000042SSIE,1,0.0,28.366666666666667
2025-05-12,31,inbound,410000008384,3,0.0,37.416666666666664
2025-05-12,31,outbound,410000007134,2,0.0,34.09166666666667
2025-05-12,31,outbound,410000008247,1,0.0,53.55
2025-05-12,32,inbound,410000008326,1,0.0,98.83333333333333
