service_date,route,direction,trips_planned,trips_actual,cancel_rate,otp,delay_med,delay_p90,delay_avg,events
2025-05-12,7,inbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.0,8.183333333333334,9.61,8.033333333333333,1970-01-01 00:00:00.000000003+00:00
2025-05-12,8,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,1.0,1.2583333333333333,2.665,1.2583333333333333,1970-01-01 00:00:00.000000002+00:00
2025-05-12,10,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,1.0,-0.2833333333333333,-0.2833333333333333,-0.2833333333333333,1970-01-01 00:00:00.000000001+00:00
2025-05-12,10,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,-3.6333333333333333,-3.6333333333333333,-3.6333333333333333,1970-01-01 00:00:00.000000001+00:00
2025-05-12,11,inbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.5,-1.2000000000000002,-0.7333333333333334,-1.2000000000000002,1970-01-01 00:00:00.000000002+00:00
2025-05-12,11,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,-8.825,-7.005,-8.825,1970-01-01 00:00:00.000000002+00:00
2025-05-12,12,inbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.5714285714285714,-0.45,1.8833333333333346,-1.0214285714285714,1970-01-01 00:00:00.000000007+00:00
2025-05-12,12,outbound,8,1970-01-01 00:00:00.000000008+00:00,0.0,0.0,-1.9833333333333334,18.86499999999999,5.05,1970-01-01 00:00:00.000000008+00:00
2025-05-12,18,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,-16.3,-16.3,-16.3,1970-01-01 00:00:00.000000001+00:00
2025-05-12,18,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.5,7.391666666666667,12.211666666666666,7.391666666666667,1970-01-01 00:00:00.000000002+00:00
2025-05-12,22,inbound,9,1970-01-01 00:00:00.000000009+00:00,0.0,0.0,-5.416666666666667,-3.323333333333333,-6.964814814814815,1970-01-01 00:00:00.000000009+00:00
2025-05-12,22,outbound,10,1970-01-01 00:00:00.000000010+00:00,0.0,0.3,-4.65,5.511666666666652,-0.3733333333333335,1970-01-01 00:00:00.000000010+00:00
2025-05-12,30,inbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.42857142857142855,-4.066666666666666,3.733333333333334,-2.6404761904761904,1970-01-01 00:00:00.000000007+00:00
2025-05-12,30,outbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.14285714285714285,2.9,9.450000000000003,2.366666666666667,1970-01-01 00:00:00.000000007+00:00
2025-05-12,31,inbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.25,-3.025,8.163333333333336,-0.5458333333333332,1970-01-01 00:00:00.000000004+00:00
2025-05-12,31,outbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.5,0.2916666666666667,7.803333333333335,2.345833333333333,1970-01-01 00:00:00.000000004+00:00
2025-05-12,36,inbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.25,5.375,10.315000000000001,3.5041666666666664,1970-01-01 00:00:00.000000004+00:00
2025-05-12,36,outbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.75,2.8833333333333333,3.4166666666666665,1.0958333333333332,1970-01-01 00:00:00.000000004+00:00
2025-05-12,37,inbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,0.5916666666666666,4.1450000000000005,0.5916666666666666,1970-01-01 00:00:00.000000002+00:00
2025-05-12,37,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.5,-10.158333333333333,-2.311666666666666,-10.158333333333333,1970-01-01 00:00:00.000000002+00:00
2025-05-12,38,inbound,12,1970-01-01 00:00:00.000000012+00:00,0.0,0.25,-2.8666666666666667,1.5050000000000006,-3.076388888888889,1970-01-01 00:00:00.000000012+00:00
2025-05-12,38,outbound,14,1970-01-01 00:00:00.000000014+00:00,0.0,0.35714285714285715,0.2583333333333333,11.490000000000007,2.4023809523809523,1970-01-01 00:00:00.000000014+00:00
2025-05-12,39,inbound,57,1970-01-01 00:00:00.000000057+00:00,0.0,0.07017543859649122,-4.783333333333333,4.409999999999998,-3.185380116959064,1970-01-01 00:00:00.000000057+00:00
2025-05-12,39,outbound,56,1970-01-01 00:00:00.000000056+00:00,0.0,0.08928571428571429,-6.0166666666666675,4.066666666666666,-3.275,1970-01-01 00:00:00.000000056+00:00
2025-05-12,40,inbound,65,1970-01-01 00:00:00.000000065+00:00,0.0,0.3384615384615385,-4.533333333333333,3.313333333333334,-5.004615384615385,1970-01-01 00:00:00.000000065+00:00
2025-05-12,40,outbound,67,1970-01-01 00:00:00.000000067+00:00,0.0,0.31343283582089554,-1.1666666666666667,5.503333333333333,0.3480099502487561,1970-01-01 00:00:00.000000067+00:00
2025-05-12,49,outbound,19,1970-01-01 00:00:00.000000019+00:00,0.0,0.21052631578947367,-2.433333333333333,0.683333333333333,-3.725438596491228,1970-01-01 00:00:00.000000019+00:00
2025-05-12,62,inbound,35,1970-01-01 00:00:00.000000035+00:00,0.0,0.08571428571428572,-7.466666666666667,1.776666666666668,-5.069999999999999,1970-01-01 00:00:00.000000035+00:00
2025-05-12,62,outbound,33,1970-01-01 00:00:00.000000033+00:00,0.0,0.15151515151515152,-6.6,-0.36333333333333284,-5.987878787878787,1970-01-01 00:00:00.000000033+00:00
2025-05-12,63,inbound,8,1970-01-01 00:00:00.000000008+00:00,0.0,0.25,-2.375,10.76,-0.7145833333333333,1970-01-01 00:00:00.000000008+00:00
2025-05-12,63,outbound,9,1970-01-01 00:00:00.000000009+00:00,0.0,0.1111111111111111,-5.566666666666666,-1.0133333333333332,-5.451851851851852,1970-01-01 00:00:00.000000009+00:00
2025-05-12,1,inbound,12,1970-01-01 00:00:00.000000012+00:00,0.0,0.16666666666666666,48.21666666666667,72.075,41.086111111111116,1970-01-01 00:00:00.000000012+00:00
2025-05-12,1,outbound,10,1970-01-01 00:00:00.000000010+00:00,0.0,0.0,49.96666666666667,60.501666666666665,51.11333333333333,1970-01-01 00:00:00.000000010+00:00
2025-05-12,10,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,31.416666666666668,31.416666666666668,31.416666666666668,1970-01-01 00:00:00.000000001+00:00
2025-05-12,10,outbound,12,1970-01-01 00:00:00.000000012+00:00,0.0,0.0,41.575,66.52166666666668,43.94861111111111,1970-01-01 00:00:00.000000012+00:00
2025-05-12,101,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,36.86666666666667,36.86666666666667,36.86666666666667,1970-01-01 00:00:00.000000001+00:00
2025-05-12,11,inbound,11,1970-01-01 00:00:00.000000011+00:00,0.0,0.0,51.45,65.1,49.96818181818182,1970-01-01 00:00:00.000000011+00:00
2025-05-12,11,outbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,44.38333333333333,60.583333333333336,45.88,1970-01-01 00:00:00.000000005+00:00
